# z        k [h/Mpc]   P(k) [(Mpc/h)^3]    Delta^2(k)   
2.750       30.159289     0.050851740       70.670700
2.750       30.661944     0.049766234       72.678191
2.750       31.164599     0.049206337       75.452899
2.750       31.667254     0.046114423       74.188783
2.750       32.169909     0.044267077       74.662167
2.750       33.175218     0.043776915       80.976086
2.750       34.180528     0.040492808       81.918964
2.750       35.185838     0.039141816       86.380340
2.750       36.191147     0.036072794       86.627762
2.750       37.196457     0.034846971       90.853157
2.750       38.201767     0.034726735       98.080926
2.750       39.207076     0.031840626       97.217675
2.750       40.212386     0.030540084       100.60510
2.750       41.217696     0.029239379       103.72645
2.750       42.223005     0.028224492       107.63260
2.750       43.228315     0.026260735       107.46872
2.750       44.233625     0.026647439       116.83779
2.750       45.238934     0.025911317       121.53373
2.750       46.244244     0.025300242       126.75584
2.750       47.249554     0.025920888       138.52025
2.750       48.254863     0.023757918       135.23899
2.750       49.260173     0.022247595       134.72281
2.750       50.265482     0.022483883       144.66089
2.750       51.270792     0.021525173       146.96943
2.750       52.276102     0.021992517       159.16764
2.750       53.281411     0.022101568       169.36377
2.750       54.286721     0.020640994       167.29451
2.750       55.292031     0.020976557       179.63546
2.750       56.297340     0.020509090       185.38743
2.750       57.302650     0.020573870       196.11480
2.750       58.307960     0.019879425       199.64462
2.750       59.313269     0.019223328       203.21437
2.750       60.318579     0.018985061       211.07439
2.750       61.323889     0.018019840       210.52819
2.750       62.329198     0.018615738       228.36269
2.750       63.334508     0.017924009       230.68885
2.750       64.339818     0.018512967       249.79616
2.750       66.350437     0.018546211       274.44595
2.750       68.361056     0.017247894       279.14679
2.750       70.371675     0.017410722       307.38361
2.750       72.382295     0.017689852       339.85331
2.750       74.392914     0.016378023       341.60675
2.750       76.403533     0.016984476       383.76269
2.750       78.414153     0.014742895       360.11099
2.750       80.424772     0.015076124       397.30997
2.750       82.435391     0.015465859       438.92005
2.750       84.446011     0.014363775       438.20393
2.750       86.456630     0.015196020       497.50223
2.750       88.467249     0.016256168       570.21156
2.750       90.477868     0.014368539       539.15043
2.750       92.488488     0.014419029       577.92212
2.750       94.499107     0.014146841       604.80146
2.750       96.509726     0.014436967       657.44509
2.750       98.520346     0.014290198       692.28719
2.750       100.53096     0.013275622       683.32090
2.750       102.54158     0.014352035       783.94176
2.750       104.55220     0.013032496       754.56636
2.750       106.56282     0.014083961       863.40032
2.750       108.57344     0.013666693       886.14446
2.750       110.58406     0.013721835       940.06968
2.750       112.59468     0.013264845       959.23731
2.750       114.60530     0.013202209       1006.7716
2.750       116.61592     0.012477165       1002.4431
2.750       118.62654     0.012415758       1049.9995
2.750       120.63716     0.012577867       1118.7178
2.750       122.64778     0.013471954       1259.1570
2.750       124.65840     0.012267337       1203.8855
2.750       126.66902     0.012420614       1278.8645
2.750       128.67964     0.012499652       1349.2662
2.750       132.70087     0.011250443       1331.8681
2.750       136.72211     0.012028300       1557.3664
2.750       140.74335     0.011717004       1654.8952
2.750       144.76459     0.010906989       1676.3402
2.750       148.78583    0.0097769788       1631.3969
2.750       152.80707     0.010365142       1873.5955
2.750       156.82831     0.010837133       2117.6686
2.750       160.84954     0.010876588       2293.0971
2.750       164.87078    0.0092801341       2106.9567
2.750       168.89202    0.0097693853       2384.3219
2.750       172.91326    0.0093017756       2436.2453
2.750       176.93450    0.0096620461       2711.2959
2.750       180.95574    0.0086610193       2599.8981
2.750       184.97698    0.0091766013       2942.4233
2.750       188.99821    0.0083929833       2870.5143
