# z        k [h/Mpc]   P(k) [(Mpc/h)^3]    Delta^2(k)   
2.750       44.233625     0.016433380       72.053444
2.750       45.238934     0.015709899       73.685281
2.750       46.244244     0.014805282       74.175417
2.750       47.249554     0.013838881       73.954459
2.750       48.254863     0.013055006       74.313991
2.750       49.260173     0.012297652       74.469812
2.750       50.265482     0.011592712       74.587299
2.750       51.270792     0.011162322       76.214022
2.750       52.276102     0.010533882       76.237439
2.750       53.281411    0.0098221894       75.267194
2.750       54.286721    0.0094553081       76.634932
2.750       55.292031    0.0089603282       76.732933
2.750       56.297340    0.0082944361       74.975740
2.750       57.302650    0.0081658849       77.839069
2.750       58.307960    0.0076710077       77.038215
2.750       59.313269    0.0072891462       77.055299
2.750       60.318579    0.0068305321       75.941313
2.750       61.323889    0.0065859159       76.944130
2.750       62.329198    0.0061910371       75.946591
2.750       63.334508    0.0058710016       75.562037
2.750       64.339818    0.0055950212       75.493831
2.750       66.350437    0.0054752362       81.022283
2.750       68.361056    0.0046049598       74.528502
2.750       70.371675    0.0042864144       75.675985
2.750       72.382295    0.0040630696       78.058744
2.750       74.392914    0.0036750745       76.653347
2.750       76.403533    0.0032146260       72.634181
2.750       78.414153    0.0029604844       72.313004
2.750       80.424772    0.0029334075       77.305817
2.750       82.435391    0.0026521493       75.267819
2.750       84.446011    0.0022483336       68.591202
2.750       86.456630    0.0022711557       74.355323
2.750       88.467249    0.0020499638       71.905815
2.750       90.477868    0.0018914556       70.973053
2.750       92.488488    0.0018280762       73.270236
2.750       94.499107    0.0015592055       66.658684
2.750       96.509726    0.0015164337       69.056878
2.750       98.520346    0.0013922304       67.446457
2.750       100.53096    0.0014046407       72.299461
2.750       102.54158    0.0012748737       69.636591
2.750       104.55220    0.0010941131       63.347876
2.750       106.56282   0.00091785953       56.268279
2.750       108.57344    0.0010620928       68.865789
2.750       110.58406   0.00082806326       56.729817
2.750       112.59468   0.00088483675       63.986305
2.750       114.60530   0.00071249164       54.333057
2.750       116.61592   0.00076330336       61.325480
2.750       118.62654   0.00081843149       69.214672
2.750       120.63716   0.00075476112       67.130993
2.750       122.64778   0.00069044366       64.532360
2.750       124.65840   0.00058660521       57.567953
2.750       126.66902   0.00063877720       65.770456
2.750       128.67964   0.00059127955       63.825258
2.750       132.70087   0.00058628586       69.406640
2.750       136.72211   0.00053836425       69.704810
2.750       140.74335   0.00030907506       43.653380
2.750       144.76459   0.00038524413       59.209762
2.750       148.78583   0.00020756423       34.634384
2.750       152.80707   0.00021665397       39.162213
2.750       156.82831   0.00029238159       57.133869
2.750       160.84954   0.00020933918       44.134709
2.750       164.87078   0.00014565212       33.068780
2.750       168.89202   0.00013702750       33.443013
2.750       172.91326   0.00014015263       36.707635
2.750       176.93450   0.00017582345       49.338348
2.750       180.95574   0.00019989597       60.005543
2.750       184.97698   0.00010251441       32.870643
2.750       188.99821   4.9061803e-05       16.779803
2.750       193.01945   7.8477893e-05       28.590440
2.750       197.04069   0.00012068836       46.773883
2.750       201.06193   0.00013576361       55.904036
2.750       205.08317   6.0325338e-05       26.360891
2.750       209.10441   8.5467124e-05       39.587575
2.750       213.12565  -3.3397544e-05      -16.379171
2.750       217.14688  -4.2365830e-05      -21.975906
2.750       221.16812   5.6356592e-05       30.887487
2.750       225.18936  -2.6802581e-06      -1.5505668
2.750       229.21060   1.7611350e-05       10.744025
2.750       233.23184   5.3735770e-07      0.34538004
2.750       237.25308   7.0196469e-06       4.7492069
2.750       241.27432  -2.7810968e-05      -19.788809
2.750       245.29555   7.4433926e-05       55.655773
2.750       249.31679   5.0601695e-06       3.9727380
